Name,Type,Units,Description,FullDescription
DESI_TARGET,int64,,DESI (dark program) target selection bitmask,DESI (dark time program) target selection bitmask
DEVICE_LOC,int32,,Device location on focal plane [0-523],Device location on focal plane [0-523]
DEVICE_TYPE,char[3],,Device type,Device type
EBV,float32,mag,Galactic extinction E(B-V) from SFD98,Galactic extinction E(B-V) reddening from SFD98
EBV_CHIANG_SFDcorr,float32,,EBV dust reddening SFD correction,EBV dust reddening SFD correction (from Chiang - ApJ 958 2023 - 118)
EBV_MPF_Mean_FW15,float32,,Mean EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 15 minutes,Mean EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 15 minutes (more details in Mudur Park and Finkbeiner - ApJ 949 2023)
EBV_MPF_Mean_FW6P1,float32,,Mean EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 6.1 minutes,Mean EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 6.1 minutes (more details in Mudur Park and Finkbeiner - ApJ 949 2023)
EBV_MPF_Mean_ZptCorr_FW15,float32,,Zero point correction in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 15 minutes,Zero point correction in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 15 minutes (more details in Mudur Park and Finkbeiner - ApJ 949 2023)
EBV_MPF_Mean_ZptCorr_FW6P1,float32,,Zero point correction in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 6.1 minutes,Zero point correction in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 6.1 minutes (more details in Mudur Park and Finkbeiner - ApJ 949 2023)
EBV_MPF_VarCorr_FW15,float32,,Uncertainty corrections in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 15 minutes,Uncertainty corrections in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 15 minutes (more details in Mudur Park and Finkbeiner - ApJ 949 2023)
EBV_MPF_VarCorr_FW6P1,float32,,Uncertainty corrections in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 6.1 minutes,Uncertainty corrections in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 6.1 minutes (more details in Mudur Park and Finkbeiner - ApJ 949 2023)
EBV_MPF_Var_FW15,float32,,Variance in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 15 minutes,Variance in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 15 minutes (more details in Mudur Park and Finkbeiner - ApJ 949 2023)
EBV_MPF_Var_FW6P1,float32,,Variance in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 6.1 minutes,Variance in EBV dust reddening generated from a combination of stellar reddening derived from PS1 and 2MASS photometry and Gaia EDR3 parallaxes with a FWHM of 6.1 minutes (more details in Mudur Park and Finkbeiner - ApJ 949 2023)
EBV_SGF14,float32,,EBV dust reddening from Schlafly Green and Finkbeiner map from PanSTARRS1,EBV dust reddening from Schlafly Green and Finkbeiner map from PanSTARRS1 (details in Appendix A from DESI 2024 II paper)
EFFECTIVE_BIAS,float64,,Effective bias used to weight the galaxy when unifying several tracers,Effective bias used to weight the galaxy when unifying several tracers
EFFTIME_ETC,float64,s,Effective exp time (nominal conditions; ETC),Effective exposure time for nominal conditions inferred from ETC data
EFFTIME_SPEC,float64,s,Effective exp time (nominal conditions; TSNR2),Effective exposure time for nominal conditions derived from the TSNR2 fits to the spectroscopy
EQ_ALL_0P0,float64,,e-correction at redshift=0.0,e-correction at redshift=0.0
EQ_ALL_0P1,float64,,e-correction at redshift=0.1,e-correction at redshift=0.1
EXPID,int32,,DESI Exposure ID number,DESI Exposure ID number
EXPTIME,float64,s,Length of time shutter was open,Length of time shutter was open
FAFLAVOR,char[*],,Fiberassign flavor name,Fiberassign flavor name
FAPRGRM,char[*],,Fiberassign program name,Fiberassign program name
FA_TARGET,int64,,Internal targeting bit for fiberassign,Targeting bit internally used by fiberassign (linked with FA_TYPE)
FA_TYPE,binary,,Internal target type for fiberassign,"Fiberassign internal target type (science, standard, sky, safe, suppsky)"
FIBER,int32,,Fiber ID on the CCDs [0-4999],Fiber ID on the CCDs [0-4999]
FIBERASSIGN_X,float32,mm,Fiberassign expected CS5 X loc on focal plane,Fiberassign expected CS5 X location on focal plane
FIBERASSIGN_Y,float32,mm,Fiberassign expected CS5 Y loc on focal plane,Fiberassign expected CS5 Y location on focal plane
FIBERFLUX_G,float32,nanomaggy,Predicted object g flux within diam 1.5 arcsec,Predicted g-band flux within a fiber of diameter 1.5 arcsec from this object in 1 arcsec Gaussian seeing
FIBERFLUX_IVAR_G,float32,nanomaggy^-2,Inverse variance of FIBERFLUX_G,Inverse variance of ``FIBERFLUX_G``
FIBERFLUX_IVAR_R,float32,nanomaggy^-2,Inverse variance of FIBERFLUX_R,Inverse variance of ``FIBERFLUX_R``
FIBERFLUX_IVAR_Z,float32,nanomaggy^-2,Inverse variance of FIBERFLUX_Z,Inverse variance of ``FIBERFLUX_Z``
FIBERFLUX_R,float32,nanomaggy,Predicted object r flux within diam 1.5 arcsec,Predicted r-band flux within a fiber of diameter 1.5 arcsec from this object in 1 arcsec Gaussian seeing
FIBERFLUX_Z,float32,nanomaggy,Predicted object z flux within diam 1.5 arcsec,Predicted z-band flux within a fiber of diameter 1.5 arcsec from this object in 1 arcsec Gaussian seeing
FIBERSTATUS,int32,,Fiber status mask. 0=good,Fiber status mask. 0=good
FIBERTOTFLUX_G,float32,nanomaggy,Predicted total g flux within diam 1.5 arcsec,Predicted g-band flux within a fiber of diameter 1.5 arcsec from all sources at this location in 1 arcsec Gaussian seeing
FIBERTOTFLUX_R,float32,nanomaggy,Predicted total r flux within diam 1.5 arcsec,Predicted r-band flux within a fiber of diameter 1.5 arcsec from all sources at this location in 1 arcsec Gaussian seeing
FIBERTOTFLUX_W1,float32,nanomaggy,Predicted total W1 flux within diam 1.5 arcsec,Predicted WISE W1-band flux within a fiber of diameter 1.5 arcsec from all sources at this location in 1 arcsec Gaussian seeing
FIBERTOTFLUX_W2,float32,nanomaggy,Predicted total W2 flux within diam 1.5 arcsec,Predicted WISE W2-band flux within a fiber of diameter 1.5 arcsec from all sources at this location in 1 arcsec Gaussian seeing
FIBERTOTFLUX_Z,float32,nanomaggy,Predicted total z flux within diam 1.5 arcsec,Predicted z-band flux within a fiber of diameter 1.5 arcsec from all sources at this location in 1 arcsec Gaussian seeing
FIBER_DEC,float64,deg,DEC of actual fiber position,DEC of actual fiber position
FIBER_RA,float64,deg,RA of actual fiber position,RA of actual fiber position
FIBER_X,float64,mm,CS5 X location requested by PlateMaker,CS5 X location requested by PlateMaker
FIBER_Y,float64,mm,CS5 Y location requested by PlateMaker,CS5 Y location requested by PlateMaker
FIRSTNIGHT,int32,,Calendar Date of the first exposure,KPNO Calendar Date when the first exposure was obtained (regardless of data quality)
FLUX_G,float32,nanomaggy,Flux in the Legacy Survey g-band (AB),Flux in the Legacy Survey g-band (AB)
FLUX_G_DERED,float32,nanomaggy,(lower or uppercase) FLUX_G corrected for Galactic extinction (AB),(lower or uppercase) Flux in the g-band after correcting for Galactic extinction (AB system)
FLUX_IVAR_G,float32,nanomaggy^-2,Inverse variance of FLUX_G (AB),Inverse variance of FLUX_G (AB)
FLUX_IVAR_R,float32,nanomaggy^-2,Inverse variance of FLUX_R (AB),Inverse variance of FLUX_R (AB)
FLUX_IVAR_W1,float32,nanomaggy^-2,Inverse variance of FLUX_W1 (AB),Inverse variance of FLUX_W1 (AB)
FLUX_IVAR_W2,float32,nanomaggy^-2,Inverse variance of FLUX_W2 (AB),Inverse variance of FLUX_W2 (AB)
FLUX_IVAR_Z,float32,nanomaggy^-2,Inverse variance of FLUX_Z (AB),Inverse variance of FLUX_Z (AB)
FLUX_R,float32,nanomaggy,Flux in the Legacy Survey r-band (AB),Flux in the Legacy Survey r-band (AB)
FLUX_R_DERED,float32,nanomaggy,(lower or uppercase) FLUX_R corrected for Galactic extinction (AB),(lower or uppercase) Flux in the r-band after correcting for Galactic extinction (AB system)
FLUX_W1,float32,nanomaggy,WISE flux in W1 (AB),WISE flux in W1 (AB)
FLUX_W1_DERED,float32,nanomaggy,(lower or uppercase) FLUX_W1 corrected for Galactic extinction (AB),(lower or uppercase) Flux in the WISE W1-band after correcting for Galactic extinction (AB system)
FLUX_W2,float32,nanomaggy,WISE flux in W2 (AB),WISE flux in W2 (AB)
FLUX_W2_DERED,float32,nanomaggy,(lower or uppercase) FLUX_W2 corrected for Galactic extinction (AB),(lower or uppercase) Flux in the WISE W2-band after correcting for Galactic extinction (AB system)
FLUX_Z,float32,nanomaggy,Flux in the Legacy Survey z-band (AB),Flux in the Legacy Survey z-band (AB)
FLUX_Z_DERED,float32,nanomaggy,(lower or uppercase) FLUX_Z corrected for Galactic extinction (AB),(lower or uppercase) Flux in the z-band after correcting for Galactic extinction (AB system)
FRACZ_TILELOCID,float64,,Frac of targets obs at TILELOCID given class,The fraction of targets of this type at this TILELOCID that received an observation (after forcing each target to a unique TILELOCID)
FRAC_TLOBS_TILES,float64,,Fraction of targets with the same TILES value that contribute to FRACZ_TILELOCID,Fraction of targets with the same TILES value that contribute to FRACZ_TILELOCID
G_R_REST,float32,,Color g-r in mocks at restframe,Color g-r in mocks at restframe
G_R_OBS,float32,,Color g-r in mocks,Color g-r in mocks
GAIA_ASTROMETRIC_EXCESS_NOISE,float32,,Gaia astrometric excess noise,Gaia astrometric excess noise
GAIA_ASTROMETRIC_PARAMS_SOLVED,int64,,Astrometric params estimated for a Gaia source,which astrometric parameters were estimated for a Gaia source
GAIA_ASTROMETRIC_SIGMA5D_MAX,float32,mas,Gaia semi-major axis of 5-d error ellipsoid,Gaia longest semi-major axis of the 5-d error ellipsoid
GAIA_DEC,float64,deg,Gaia ICRS declination,Gaia ICRS declination
GAIA_DUPLICATED_SOURCE,bool,,Gaia duplicated source flag,Gaia duplicated source flag
GAIA_PHOT_BP_MEAN_FLUX_OVER_ERROR,float32,,Gaia BP band signal-to-noise,Gaia BP band signal-to-noise
GAIA_PHOT_BP_MEAN_MAG,float32,mag,Gaia BP band magnitude,Gaia BP band magnitude
GAIA_PHOT_BP_N_OBS,int32,,Gaia BP band number of observations,Gaia BP band number of observations
GAIA_PHOT_BP_RP_EXCESS_FACTOR,float32,,Gaia BP/RP excess factor,Gaia BP/RP excess factor
GAIA_PHOT_G_MEAN_FLUX_OVER_ERROR,float32,,Gaia G band signal-to-noise,Gaia G band signal-to-noise
GAIA_PHOT_G_MEAN_MAG,float32,mag,Gaia G band magnitude,Gaia G band magnitude
GAIA_PHOT_G_N_OBS,int32,,Gaia G band number of observations,Gaia G band number of observations
GAIA_PHOT_RP_MEAN_FLUX_OVER_ERROR,float32,,Gaia RP band signal-to-noise,Gaia RP band signal-to-noise
GAIA_PHOT_RP_MEAN_MAG,float32,mag,Gaia RP band magnitude,Gaia RP band magnitude
GAIA_PHOT_RP_N_OBS,int32,,Gaia RP band number of observations,Gaia RP band number of observations
GAIA_RA,float64,deg,Gaia ICRS right ascension,Gaia ICRS right ascension
GALCAP,char[1],,Galactic cap N or S,Galactic cap N or S
GALDEPTH_G,float32,nanomaggy^-2,Galaxy model-based depth in LS g-band,Galaxy model-based depth in LS g-band
GALDEPTH_R,float32,nanomaggy^-2,Galaxy model-based depth in LS r-band,Galaxy model-based depth in LS r-band
GALDEPTH_Z,float32,nanomaggy^-2,Galaxy model-based depth in LS z-band,Galaxy model-based depth in LS z-band
GOODHARDLOC,bool,,True/False whether the fiber had good hardware,True/False whether the fiber had good hardware
GOODPRI,bool,,True if assigned priority less or equals to base priority,True/False whether the priority of what was assigned to the location was less or equals to the base priority of the given target class
GOODTSNR,bool,,True if TSNR (class) above minimum threshold,True/False whether the TSNR (class) value used was above the minimum threshold for the given target class
HALPHA,float32,,Intensity of Halpha emission at FWHM of 6 minutes, Intensity of Halpha emission at FWHM of 6 minutes (from Finkbeiner - ApJS 146 2003 - 407)
HALPHA_CHI2,float32,,Reduced chi2 of the fit for the HALPHA line,Reduced chi2 of the fit for the HALPHA line
HALPHA_CONT,float32,10**-17 erg/(s cm2 Angstrom),Continuum for HALPHA line fitting (constant),Continuum used for the fitting (fixed value) for the HALPHA line
HALPHA_CONT_IVAR,float32,10**+34 (s2 cm4 Angstrom2) / erg2,Inverse variance of HALPHA line continuum,Inverse variance of the continuum for the HALPHA line
HALPHA_ERROR,float32,,Intensity error of Halpha emission at FWHM of 6 minutes,Intensity error of Halpha emission at FWHM of 6 minutes (from Finkbeiner - ApJS 146 2003 - 407)
HALPHA_EW,float32,Angstrom,Fitted HALPHA line rest-frame equivalent width,Fitted rest-frame equivalent width for the HALPHA line
HALPHA_EW_IVAR,float32,Angstrom^-2,Inverse variance of fitted HALPHA_EW,Inverse variance of the fitted rest-frame equivalent width for the HALPHA line
HALPHA_FLUX,float32,10**-17 erg/(s cm2),Fitted flux for the HALPHA line,Fitted flux for the HALPHA line
HALPHA_FLUX_IVAR,float32,10**+34 (s2 cm4) / erg2,Inverse variance of fitted HALPHA line flux,Inverse variance of the fitted flux for the HALPHA line
HALPHA_NDOF,int32,,Number of deg of freedom for HALPHA line fit,Number of degrees of freedom of the fit for the HALPHA line
HALPHA_SHARE,float32,,NaN (SHARE not relevant for HALPHA line),NaN (SHARE not relevant for HALPHA line)
HALPHA_SHARE_IVAR,float32,,NaN (SHARE not relevant for HALPHA line),NaN (SHARE not relevant for HALPHA line)
HALPHA_SIGMA,float32,Angstrom,Fitted HALPHA line width in the observed frame,Fitted line width (in the observed frame) for the HALPHA line
HALPHA_SIGMA_IVAR,float32,Angstrom^-2,Inverse variance of HALPHA_SIGMA (obs frame),Inverse variance of the fitted line width (in the observed frame) for the HALPHA line
HBETA_CHI2,float32,,Reduced chi2 of the fit for the HBETA line,Reduced chi2 of the fit for the HBETA line
HBETA_CONT,float32,10**-17 erg/(s cm2 Angstrom),Continuum for HBETA line fitting (constant),Continuum used for the fitting (fixed value) for the HBETA line
HBETA_CONT_IVAR,float32,10**+34 (s2 cm4 Angstrom2) / erg2,Inverse variance of HBETA line continuum,Inverse variance of the continuum for the HBETA line
HBETA_EW,float32,Angstrom,Fitted HBETA line rest-frame equivalent width,Fitted rest-frame equivalent width for the HBETA line
HBETA_EW_IVAR,float32,Angstrom^-2,Inverse variance of HBETA_EW (rest frame),Inverse variance of the fitted rest-frame equivalent width for the HBETA line
HBETA_FLUX,float32,10**-17 erg/(s cm2),Fitted flux for the HBETA line,Fitted flux for the HBETA line
HBETA_FLUX_IVAR,float32,10**+34 (s2 cm4) / erg2,Inverse variance of fitted HBETA line flux,Inverse variance of the fitted flux for the HBETA line
HBETA_NDOF,int32,,Number of deg of freedom for HBETA line fit,Number of degrees of freedom of the fit for the HBETA line
HBETA_SHARE,float32,,NaN (SHARE not relevant for HBETA line),NaN (SHARE not relevant for HBETA line)
HBETA_SHARE_IVAR,float32,,NaN (SHARE not relevant for HBETA line),NaN (SHARE not relevant for HBETA line)
HBETA_SIGMA,float32,Angstrom,Fitted HBETA line width in the observed frame,Fitted line width (in the observed frame) for the HBETA line
HBETA_SIGMA_IVAR,float32,Angstrom^-2,Inverse variance of HBETA_SIGMA (obs frame),Inverse variance of the fitted line width (in the observed frame) for the HBETA line
HDELTA_CHI2,float32,,Reduced chi2 of the fit for the HDELTA line,Reduced chi2 of the fit for the HDELTA line
HDELTA_CONT,float32,10**-17 erg/(s cm2 Angstrom),Continuum for HDELTA line fitting (constant),Continuum used for the fitting (fixed value) for the HDELTA line
HDELTA_CONT_IVAR,float32,10**+34 (s2 cm4 Angstrom2) / erg2,Inverse variance of the HDELTA line continuum,Inverse variance of the continuum for the HDELTA line
HDELTA_EW,float32,Angstrom,Fitted HDELTA line rest-frame equivalent width,Fitted rest-frame equivalent width for the HDELTA line
HDELTA_EW_IVAR,float32,Angstrom^-2,Inverse variance of HDELTA_EW (rest frame),Inverse variance of the fitted rest-frame equivalent width for the HDELTA line
HDELTA_FLUX,float32,10**-17 erg/(s cm2),Fitted flux for the HDELTA line,Fitted flux for the HDELTA line
HDELTA_FLUX_IVAR,float32,10**+34 (s2 cm4) / erg2,Inverse variance of fitted HDELTA line flux,Inverse variance of the fitted flux for the HDELTA line
HDELTA_NDOF,int32,,Number of deg of freedom of HDELTA line fit,Number of degrees of freedom of the fit for the HDELTA line
HDELTA_SHARE,float32,,NaN (SHARE not relevant for HDELTA line),NaN (SHARE not relevant for HDELTA line)
HDELTA_SHARE_IVAR,float32,,NaN (SHARE not relevant for HDELTA line),NaN (SHARE not relevant for HDELTA line)
HDELTA_SIGMA,float32,Angstrom,Fitted HDELTA line width in the observed frame,Fitted line width (in the observed frame) for the HDELTA line
HDELTA_SIGMA_IVAR,float32,Angstrom^-2,Inverse variance of HDELTA_SIGMA (obs frame),Inverse variance of the fitted line width (in the observed frame) for the HDELTA line
HEALPIX,int32,,HEALPixel at this location (NSIDE=64; NESTED),HEALPixel containing this location at NSIDE=64 in the NESTED scheme
HGAMMA_CHI2,float32,,Reduced chi2 of the fit for the HGAMMA line,Reduced chi2 of the fit for the HGAMMA line
HGAMMA_CONT,float32,10**-17 erg/(s cm2 Angstrom),Continuum for HGAMMA line fitting (constant),Continuum used for the fitting (fixed value) for the HGAMMA line
HGAMMA_CONT_IVAR,float32,10**+34 (s2 cm4 Angstrom2) / erg2,Inverse variance of the HGAMMA line continuum,Inverse variance of the continuum for the HGAMMA line
HGAMMA_EW,float32,Angstrom,Fitted HGAMMA line rest-frame equivalent width,Fitted rest-frame equivalent width for the HGAMMA line
HGAMMA_EW_IVAR,float32,Angstrom^-2,Inverse variance of HGAMMA_EW (rest frame),Inverse variance of the fitted rest-frame equivalent width for the HGAMMA line
HGAMMA_FLUX,float32,10**-17 erg/(s cm2),Fitted flux for the HGAMMA line,Fitted flux for the HGAMMA line
HGAMMA_FLUX_IVAR,float32,10**+34 (s2 cm4) / erg2,Inverse variance of fitted HGAMMA line flux,Inverse variance of the fitted flux for the HGAMMA line
HGAMMA_NDOF,int32,,Number of deg of freedom of HGAMMA line fit,Number of degrees of freedom of the fit for the HGAMMA line
HGAMMA_SHARE,float32,,NaN (SHARE not relevant for HGAMMA line),NaN (SHARE not relevant for HGAMMA line)
HGAMMA_SHARE_IVAR,float32,,NaN (SHARE not relevant for HGAMMA line),NaN (SHARE not relevant for HGAMMA line)
HGAMMA_SIGMA,float32,Angstrom,Fitted HGAMMA line width in the observed frame,Fitted line width (in the observed frame) for the HGAMMA line
HGAMMA_SIGMA_IVAR,float32,Angstrom^-2,Inverse variance of HGAMMA_SIGMA (obs frame),Inverse variance of the fitted line width (in the observed frame) for the HGAMMA line
HI,float32,,HI column density assembled by combining the Effelsberg-Bonn HI Survey and the third revision of the Galactic All-Sky Survey,HI column density assembled by combining the Effelsberg-Bonn HI Survey and the third revision of the Galactic All-Sky Survey (from HI4PI Collaboration - A and A 594 2016 - A116)
HPXPIXEL,int64,,HEALPixel at this location (NSIDE=64; NESTED),HEALPixel containing this location at NSIDE=64 in the NESTED scheme
IN_COADD_B,bool,,Fiber/exp used in coadd of camera B,If True this fiber in this exposure was used in the coadd of camera B
IN_COADD_R,bool,,Fiber/exp used in coadd of camera R,If True this fiber in this exposure was used in the coadd of camera R
IN_COADD_Z,bool,,Fiber/exp used in coadd of camera Z,If True this fiber in this exposure was used in the coadd of camera Z
IN_DESI,int16,,Used by fiberassign to create tile; set to 1,Used by fiberassign to make a tile in the DESI footprint; always set to 1
IN_RADIUS,float32,arcsec,Radius used to set the IN_BRIGHT_OBJECT bit,Radius used to set the ``IN_BRIGHT_OBJECT`` bit in the ``DESI_TARGET`` bitmask.
IS_QSO_MGII,bool,,True if the object passes the MgII selection,Boolean: True if the object passes the MgII selection
IS_QSO_QN,int16,,True if the object passes QuasarNET selection,Spectroscopic classification from QuasarNET (1 for a quasar)
KAPPA_PLANCK,float64,,Map of lensing convergence from Planck where values are the mean-field-subtracted minimum-variance estimate from temperature and polarization,Map of lensing convergence from Planck where values are the mean-field-subtracted minimum-variance estimate from temperature and polarization (from Planck Collaboration - A and A 641 2020 - A8)
KCORR_G0P0,float64,,g-band k-correction at redshift=0.0,g-band k-correction at redshift=0.0
KCORR_G0P1,float64,,g-band k-correction at redshift=0.1,g-band k-correction at redshift=0.1
KCORR_R0P0,float64,,r-band k-correction at redshift=0.0,r-band k-correction at redshift=0.0
KCORR_R0P1,float64,,r-band k-correction at redshift=0.1,r-band k-correction at redshift=0.1
LAMBDA_REF,float32,Angstrom,Requested central wavelength for fiber,Requested wavelength at which targets should be centered on fibers
LASTNIGHT,int32,,Final night of observation in series of coadds,Final night of observation included in a series of coadds
LC_FLUX_IVAR_W1,float32[15],nanomaggy^-2,Inverse variance of LC_FLUX_W1 (AB; 0 if N/A),Inverse variance of LC_FLUX_W1 (AB system; defaults to zero for unused entries)
